Singular,Plural,CEFR_Level
child,children,easy_peasy
deer,deer,easy_peasy
man,men,easy_peasy
photo,photos,easy_peasy
piano,pianos,easy_peasy
sheep,sheep,easy_peasy
woman,women,easy_peasy
fish,fish,easy
half,halves,easy
leaf,leaves,easy
life,lives,easy
means,means,easy
quiz,quizzes,easy
self,selves,easy
shelf,shelves,easy
wife,wives,easy
wolf,wolves,easy
bison,bison,normal
calf,calves,normal
cod,cod,normal
foot,feet,normal
goose,geese,normal
knife,knives,normal
loaf,loaves,normal
mouse,mice,normal
offspring,offspring,normal
person,people,normal
salmon,salmon,normal
series,series,normal
shrimp,shrimp,normal
species,species,normal
swine,swine,normal
thief,thieves,normal
tooth,teeth,normal
trout,trout,normal
wife,wives,normal
analysis,analyses,challenging
antenna,antennae,challenging
appendix,appendices,challenging
axis,axes,challenging
basis,bases,challenging
cactus,cacti,challenging
crisis,crises,challenging
crossroads,crossroads,challenging
diagnosis,diagnoses,challenging
focus,foci,challenging
fungus,fungi,challenging
index,indices,challenging
larva,larvae,challenging
oasis,oases,challenging
ox,oxen,challenging
parenthesis,parentheses,challenging
thesis,theses,challenging
alga,algae,super_challenging
bacterium,bacteria,super_challenging
corpus,corpora,super_challenging
curriculum,curricula,super_challenging
datum,data,super_challenging
formula,formulae,super_challenging
genus,genera,super_challenging
hypothesis,hypotheses,super_challenging
medium,media,super_challenging
memorandum,memoranda,super_challenging
nucleus,nuclei,super_challenging
stimulus,stimuli,super_challenging
aircraft,aircraft,super_challenging
criterion,criteria,super_challenging
hovercraft,hovercraft,super_challenging
moose,moose,super_challenging
phenomenon,phenomena,super_challenging
symposium,symposia,super_challenging
